AlteryxKey,PointOrder,Longitude,Latitude,Port
2,50,6.064453,-31.503629,unknown
2,51,1.40625,-28.921631,unknown
2,52,-3.515625,-26.313113,unknown
2,53,-8.701172,-23.483401,unknown
2,54,-13.930664,-20.468189,unknown
2,55,-19.467773,-17.014768,unknown
2,56,-23.862305,-13.624633,unknown
2,57,-31.289063,-7.188101,unknown
2,58,-37.441406,-1.230374,unknown
2,59,-41.791992,2.064982,unknown
2,60,-46.40625,5.266008,unknown
2,61,-49.614258,7.275292,unknown
2,62,-53.569336,9.275622,unknown
2,63,-57.963867,11.005904,unknown
2,64,-61.918945,12.425848,unknown
2,65,-65.742188,13.410994,unknown
2,66,-71.894531,15.029686,unknown
2,67,-77.849121,16.993755,unknown
2,68,-82.770996,19.497664,unknown
2,69,-86.52832,22.08564,unknown
2,70,-89.780273,24.467151,unknown
2,71,-92.438965,26.863281,unknown
2,72,-95.264861,29.725369,Houston
3,1,151.210817,-33.852008,Sydney
3,2,152.468262,-32.787275,unknown
3,3,153.094482,-32.481963,unknown
3,4,153.577881,-32.054645,unknown
3,5,153.852539,-31.709476,unknown
3,6,154.105225,-31.109389,unknown
3,7,154.281006,-30.135626,unknown
3,8,154.412842,-28.68095,unknown
3,9,154.47876,-26.39187,unknown
3,10,154.544678,-23.392682,unknown
3,11,154.6875,-18.979026,unknown
3,12,154.6875,-16.615138,unknown
3,13,154.621582,-13.710035,unknown
3,14,154.511719,-12.21118,unknown
3,15,154.35791,-10.854886,unknown
3,16,154.116211,-9.232249,unknown
3,17,153.786621,-7.1663,unknown
3,18,153.325195,-4.477856,unknown
3,19,152.819824,-2.701635,unknown
3,20,152.226563,-0.681136,unknown
3,21,151.303711,1.625758,unknown
3,22,150.13916,3.820408,unknown
3,23,148.710938,5.790897,unknown
3,24,146.25,8.928487,unknown
3,25,144.667969,10.660608,unknown
3,26,141.328125,14.264383,unknown
3,27,138.955078,16.846605,unknown
3,28,136.933594,18.979026,unknown
3,29,135,20.797201,unknown
3,30,132.714844,23.241346,unknown
3,31,131.308594,25.005973,unknown
3,32,128.847656,27.683528,unknown
3,33,127.617187,29.382175,unknown
3,34,126.5625,31.203405,unknown
3,35,125.683594,32.842674,unknown
3,36,124.628906,34.741612,unknown
3,37,124.101563,36.031332,unknown
3,38,123.33252,37.370157,unknown
3,39,123.140259,37.900865,unknown
3,40,122.623901,38.384728,unknown
3,41,121.666667,38.916667,Dalian
4,1,4.073153,51.973264,Rotterdam
4,2,1.829224,51.096623,unknown
4,3,0.736084,50.604159,unknown
4,4,-0.675659,50.183933,unknown
4,5,-2.988281,49.735131,unknown
4,6,-4.394531,49.382373,unknown
4,7,-4.888916,49.26422,unknown
4,8,-5.542603,49.126017,unknown
4,9,-6.679688,48.922499,unknown
4,10,-8.723145,48.698212,unknown
4,11,-10.83252,48.502048,unknown
4,12,-12.546387,48.378145,unknown
4,13,-13.447266,48.341646,unknown
4,14,-15.292969,48.341646,unknown
4,15,-17.237549,48.407326,unknown
4,16,-19.830322,48.57479,unknown
4,17,-22.115479,48.748945,unknown
4,18,-25.839844,49.037868,unknown
4,19,-27.872314,49.160155,unknown
4,20,-29.707031,49.267805,unknown
4,21,-31.409912,49.368066,unknown
4,22,-33.453369,49.432413,unknown
4,23,-34.936523,49.432413,unknown
4,24,-36.210938,49.382373,unknown
4,25,-38.012695,49.217597,unknown
4,26,-39.990234,48.922499,unknown
4,27,-43.187256,48.341646,unknown
4,28,-46.351318,47.746711,unknown
4,29,-48.427734,47.323931,unknown
4,30,-50.273438,46.890232,unknown
4,31,-51.9104,46.490829,unknown
4,32,-53.613281,45.95115,unknown
4,33,-56.074219,45.089036,unknown
4,34,-58.062744,44.347422,unknown
4,35,-59.941406,43.580391,unknown
4,36,-61.699219,42.940339,unknown
4,37,-63.039551,42.472097,unknown
4,38,-64.6875,41.902277,unknown
4,39,-67.115479,41.319076,unknown
4,40,-68.862305,40.979898,unknown
4,41,-70.257568,40.78886,unknown
4,42,-71.608887,40.638967,unknown
4,43,-72.79541,40.563895,unknown
4,44,-74.012769,40.683564,New York
5,1,-43.2,-22.9,Rio de Janeiro
5,2,-41.088867,-24.287027,unknown
5,3,-38.408203,-25.799891,unknown
5,4,-35.507813,-27.137368,unknown
5,5,-30.541992,-29.190533,unknown
5,6,-25.532227,-31.015279,unknown
5,7,-20.214844,-33.063924,unknown
5,8,-13.710938,-34.885931,unknown
5,9,-7.470703,-36.456636,unknown
5,10,-1.230469,-37.996163,unknown
5,11,5.800781,-39.232253,unknown
5,12,11.601563,-40.044438,unknown
5,13,17.578125,-40.647304,unknown
5,14,23.378906,-40.979898,unknown
5,15,29.619141,-41.178654,unknown
5,16,39.023438,-41.376809,unknown
5,17,46.757813,-41.640078,unknown
5,18,57.392578,-41.967659,unknown
5,19,67.763672,-42.358544,unknown
5,20,77.080078,-42.617791,unknown
5,21,86.044922,-42.747012,unknown
5,22,95.273438,-42.682435,unknown
5,23,103.007813,-42.55308,unknown
5,24,111.972656,-42.55308,unknown
5,25,118.564453,-42.358544,unknown
5,26,126.650391,-41.836828,unknown
5,27,133.945313,-41.112469,unknown
5,28,140.976563,-40.313043,unknown
5,29,142.833252,-39.75788,unknown
5,30,144.008789,-39.121537,unknown
5,31,144.613037,-38.453589,unknown
5,32,144.904567,-37.850167,Melbourne
6,1,1.285006,6.141169,Lome
6,2,1.472168,5.71438,unknown
6,3,1.658936,5.025283,unknown
6,4,1.340332,4.203986,unknown
6,5,0.307617,3.480523,unknown
6,6,-2.06543,2.679687,unknown
6,7,-4.96582,2.613839,unknown
6,8,-7.44873,2.811371,unknown
